,:ID;author:string
471,8961445;Torben P. Pedersen
472,8961446;Nary Subramanian
473,8961447;Marco Bucci
474,8961448;Anton Stiglic
475,8961449;Phong Q. Nguyen
476,8961450;Christophe Petit
477,8961451;Jean-Jacques Quisquater
478,8961452;Robert J. Zuccherato
479,8961453;Salil P. Vadhan
480,8961454;Marc Vauclair
481,8961455;Darrel Hankerson
482,8961456;Alfred Menezes
483,8961457;Tom Caddy
484,8961458;Radu Sion
485,8961459;Yevgeniy Dodis
486,8961460;XiaoFeng Wang 0001
487,8961461;Ernst M. Gabidulin
488,8961462;Emmanuel Thomé
489,8961463;Torben Pedersen
490,8961464;Trent Jaeger
491,8961465;François Morain
492,8961466;G. R. Blakley
493,8961467;Gregory A. Kabatiansky
494,8961468;Matthew K. Franklin
495,8961469;Tor Helleseth
496,8961470;Ruggero Donida Labati
497,8961471;Fabio Scotti
498,8961472;Robert Silverman
499,8961473;Dalit Naor
500,8961474;Tae Hwan Oh
501,8961475;Shinyoung Lim
502,8961476;Young B. Choi
503,8961477;Jungwoo Ryoo
504,8961478;Tim Güneysu
505,8961479;Svetlana N. Yanushkevich
506,8961480;Denis V. Popel
507,8961481;Saeed Abu-Nimeh
508,8961482;Assia Tria
509,8961483;Hamid Choukri
510,8961484;David Samyde
511,8961485;Brent ByungHoon Kang
512,8961486;Greg Sinclair
513,8961487;Anurag Srivastava
514,8961488;Paulo S. L. M. Barreto
515,8961489;Vincent Rijmen
516,8961490;Moses D. Liskov
517,8961491;Nicholas C. Weaver
518,8961492;Wensheng Zhang
519,8961493;Henk C. A. van Tilborg
520,8961494;Kar-Ann Toh
521,8961495;Andrew Beng Jin Teoh
522,8961496;Robert Blakley 0001
523,8961497;Jean-Louis Lanet
524,8961498;V. N. Venkatakrishnan
525,8961499;Claudio Bettini
526,8961500;Ehab Al-Shaer
527,8961501;Anil K. Jain 0001
528,8961502;Angelos Stavrou
529,8961503;Graham Steel
530,8961504;Ebru Celikel Cankaya
531,8961505;Nicky Mouha
532,8961506;Jorge Guajardo
533,8961507;Lorrie Faith Cranor
534,8961508;Miles E. Smid
535,8961509;Marco Gruteser
536,8961510;Roberto Avanzi
537,8961511;Nicolas Thériault
538,8961512;Steve Lloyd
539,8961513;Xiaokui Xiao
540,8961514;Patrick D. McDaniel
541,8961515;Collin Jackson
542,8961516;Kun Sun 0001
543,8961517;Peng Ning
544,8961518;Claudio Agostino Ardagna
545,8961519;Kaoru Kurosawa
546,8961520;Martin Gagné
547,8961521;Fabien A. P. Petitcolas
548,8961522;Qiushi Yang
549,8961523;Dario V. Forte
550,8961524;Dwight Horne
551,8961525;Mike Just
552,8961526;Ben J. M. Smeets
553,8961527;Jerome A. Solinas
554,8961528;Paul England
555,8961529;François Koeune
556,8961530;Donggang Liu
557,8961531;Hakan Hacigümüs
558,8961532;Bijit Hore
559,8961533;Sharad Mehrotra
560,8961534;Claude Crépeau
561,8961535;Yi Yang 0002
562,8961536;Sencun Zhu
563,8961537;David F. Ferraiolo
564,8961538;Michalis Polychronakis
565,8961539;Pascale Charpin
566,8961540;Niels Provos
567,8961541;Josep Domingo-Ferrer
568,8961542;Soma Biswas
569,8961543;Rama Chellappa
570,8961544;Srdjan Capkun
571,8961545;Joe Pato
572,8961546;Laurent Sustek
573,8961547;B. V. K. Vijaya Kumar
574,8961548;Sara Foresti
575,8961549;Guido Salvaneschi
576,8961550;Paolo Salvaneschi
577,8961551;Alexander Kruppa
578,8961552;Paul Leyland
579,8961553;Michael Ward
580,8961554;Olivier Benoît
581,8961555;Jeffrey J. Wiley
582,8961556;Gerardo Pelosi
583,8961557;Christiane Peters
584,8961558;Glenn Durfee
585,8961559;Mohamed Omar Rayes
586,8961560;Christof Paar
587,8961561;Guofei Gu
588,8961562;Michael E. Locasto
589,8961563;Ann Cavoukian
590,8961564;Alex Stoianov
591,8961565;Mike Burmester
592,8961566;François-Xavier Standaert
593,8961567;Jing Dong 0006
594,8961568;Mehdi Tibouchi
595,8961569;André Weimerskirch
596,8961570;William Enck
597,8961571;Scott E. Coull
598,8961572;Achint Thomas
599,8961573;Venu Govindaraju
600,8961574;Mihai Christodorescu
601,8961575;Vinod Ganapathy
602,8961576;Russ Housley
603,8961577;Sean Turner
604,8961578;Michael J. Wiener
605,8961579;Daniel J. Bernstein
606,8961580;Gilles Brassard
607,8961581;Pavan Verma
608,8961582;Matthew J. B. Robshaw
609,8961583;Thomas Morris
610,8961584;Patrizio Campisi
611,8961585;Emanuele Maiorana
612,8961586;Alessandro Neri 0001
613,8961587;Debbie Cook
614,8961588;Edlyn Teske
615,8961589;David Pointcheval
616,8961590;Jörg Schwenk
617,8961591;William D. Casper
618,8961592;Stephen M. Papa
619,8961593;Arkadiusz Orlowski
620,8961594;Sangwon Hyun
621,8961595;Martin Johns
622,8961596;Wenyuan Xu
623,8961597;Alexander Barg
624,8961598;Daniel Gordon
625,8961599;Arjen K. Lenstra
626,8961600;Jonathan K. Millen
627,8961601;Sebastiaan Indesteege
628,8961602;Günther Pernul
629,8961603;Moritz Riesner
630,8961604;Paul Zimmermann
631,8961605;Ernesto Damiani
632,8961606;Andrew Clark
633,8961607;Keith B. Frikken
634,8961608;Michael T. Hunter
635,8961609;Çetin Kaya Koç
636,8961610;David Zhang 0001
637,8961611;Feng Yue
638,8961612;Wangmeng Zuo
639,8961613;Frédérique Biennier
640,8961614;Scott A. Rotondo
641,8961615;Kristen LeFevre
642,8961616;Bee-Chung Chen
643,8961617;Sharon Boeyen
644,8961618;Daniele Micciancio
645,8961619;Elisa Gorla
646,8961620;Serge Fenet
647,8961621;Giovanni Livraga
648,8961622;Lee D. McFearin
649,8961623;Daniel M. Gordon
650,8961624;Qijun Gu
651,8961625;Louis Goubin
652,8961626;Jacques Patarin
653,8961627;Bo-Yin Yang
654,8961628;Stefano Paraboschi
655,8961629;Angelos D. Keromytis
656,8961630;Ronald L. Rivest
657,8961631;Nadia Heninger
658,8961632;Cynthia Dwork
659,8961633;Italo Dacosta
660,8961634;Colin D. Walter
661,8961635;William Stallings
662,8961636;Elisabeth de Leeuw
663,8961637;Matthieu Finiasz
664,"8961638;""Jung-Min """"Jerry"""" Park"""
665,8961639;Kaigui Bian
666,8961640;Hideki Imai
667,8961641;Atsuhiro Yamagishi
668,8961642;Frédéric Cuppens
669,8961643;Nora Cuppens-Boulahia
670,8961644;Benoît Libert
671,8961645;Guohong Cao
672,8961646;Zhichao Zhu
673,8961647;Jeffrey Hoffstein
674,8961648;Stuart Haber
675,8961649;Henri Massias
676,8961650;Pascal Paillier
677,8961651;David Challener
678,8961652;Kerstin Lemke
679,8961653;Ming Li 0003
680,8961654;Evangelia Micheli-Tzanakou
681,8961655;Konstantinos N. Plataniotis
682,8961656;Vivek Kanhangad
683,8961657;Gregor Leander
684,8961658;Eli Biham
685,8961659;Edward Sciore
686,8961660;Alessandro Orso
687,8961661;Benny Pinkas
688,8961662;Goce Jakimoski
689,8961663;Ali Bagherzandi
690,8961664;Anita Ochieano
691,8961665;Bryan D. Payne
692,8961666;Thomas Eisenbarth 0001
693,8961667;Timo Kasper
694,8961668;Panos Papadimitratos
695,8961669;Jean-Pierre Hubaux
696,8961670;Russell Housley
697,8961671;Brecht Wyseur
698,8961672;Alexander W. Dent
699,8961673;Scott D. Stoller
700,8961674;Aaron Estes
701,8961675;Alan D. Smith
702,8961676;David A. McGrew
703,8961677;Martin Evison
704,8961678;John Ioannidis
705,8961679;Engin Kirda
706,8961680;Stelvio Cimato
707,8961681;Roberto Sassi
708,8961682;Paul C. Leyland
709,8961683;Joan Daemen
710,8961684;Laurent Bussard
711,8961685;David Brumley
712,8961686;Luc Bouganim
713,8961687;Yanli Guo
714,8961688;Joachim Biskup
715,8961689;Mayank Varia
716,8961690;William E. Winkler
717,8961691;Gildas Avoine
718,8961692;Mark Stephens
719,8961693;David Elliott Bell
720,8961694;Fernando L. Podio
721,8961695;Johannes Gehrke
722,8961696;Ashwin Machanavajjhala
723,8961697;Sachiko Yoshihama
724,8961698;Xiaowei Yang 0001
725,8961699;Aggelos Kiayias
726,8961700;Bülent Yener
727,8961701;Marion Videau
728,8961702;Suman Banerjee
729,8961703;Vladimir Brik
730,8961704;John Black
731,8961705;Philippe Gaborit
732,8961706;Jelena Mirkovic
733,8961707;Bruce Schneier
734,8961708;Mudhakar Srivatsa
735,8961709;Arun Iyengar
736,8961710;Hakki C. Cankaya
737,8961711;Steven M. Bellovin
738,8961712;Piero A. Bonatti
739,8961713;Homayoon S. M. Beigi
740,8961714;George C. Necula
741,8961715;Charu C. Aggarwal
742,8961716;Nabil R. Adam
743,8961717;Haibing Lu
744,8961718;Jaideep Vaidya
745,8961719;Basit Shafiq
746,8961720;Davide Martinenghi
747,8961721;Randy Sabett
748,8961722;Pierrick Gaudry
749,8961723;Radmilo Racic
750,8961724;George Kesidis
751,8961725;Hugo Krawczyk
752,8961726;Antoine Joux
753,8961727;Reynald Lercier
754,8961728;Shambhu J. Upadhyaya
755,8961729;Toni Farley
